locality,species,month,year,socioeconomic_stratum,citizen_reports,abuse_cases,animals_seized,vet_emergencies,microchip_coverage,sterilization_rate,stray_density,prior_cases_6m,institutional_response_days,abandonment_risk
SUBA,CANINO,5,2024,5,11,10,3,11,0.6414,0.4176,26.75,8,5,LOW
SUBA,FELINO,2,2023,4,8,9,0,12,0.617,0.3505,30.81,7,1,MEDIUM
ENGATIVÁ,CANINO,2,2023,2,7,13,5,15,0.5529,0.3718,39.56,8,5,MEDIUM
BOSA,FELINO,11,2024,1,18,19,5,31,0.1383,0.1572,55.95,14,4,HIGH
BOSA,CANINO,9,2024,2,6,12,3,31,0.3605,0.2132,45.76,6,5,MEDIUM
PUENTE ARANDA,FELINO,8,2023,3,7,8,5,23,0.3948,0.2864,39.09,9,8,MEDIUM
KENNEDY,FELINO,2,2023,1,15,21,4,25,0.0982,0.3064,60.03,20,7,HIGH
SAN CRISTÓBAL,CANINO,3,2023,2,12,16,4,22,0.2404,0.1932,40.01,9,2,MEDIUM
LA CANDELARIA,CANINO,4,2023,4,3,4,0,13,0.6942,0.4621,21.65,6,4,LOW
LA CANDELARIA,CANINO,3,2022,4,6,6,0,15,0.6192,0.3164,19.11,5,2,LOW
KENNEDY,FELINO,12,2023,1,14,18,7,41,0.0908,0.2563,60.96,15,7,HIGH
BOSA,FELINO,2,2023,3,12,26,8,26,0.1837,0.2613,52.01,10,8,HIGH
LOS MÁRTIRES,CANINO,10,2023,3,6,17,4,15,0.3544,0.2975,35.39,12,6,MEDIUM
KENNEDY,CANINO,7,2024,1,19,14,3,38,0.0829,0.2281,58.59,11,7,HIGH
FONTIBÓN,CANINO,4,2024,3,3,12,4,21,0.4673,0.4162,27.62,10,5,MEDIUM
LA CANDELARIA,CANINO,4,2023,4,3,15,3,8,0.6017,0.3937,18.01,8,4,LOW
BOSA,FELINO,12,2022,1,16,16,1,36,0.0878,0.1779,60.19,13,12,HIGH
USME,CANINO,1,2024,1,21,18,5,35,0.0681,0.2151,50.05,15,4,HIGH
BOSA,CANINO,7,2023,1,10,21,4,24,0.0607,0.2214,61.77,12,4,HIGH
BOSA,CANINO,4,2023,1,17,18,6,31,0.0713,0.2762,48.19,16,3,HIGH
SANTA FE,FELINO,5,2024,3,8,13,2,16,0.4901,0.3867,32.12,5,6,MEDIUM
ENGATIVÁ,CANINO,3,2023,2,6,12,2,16,0.376,0.4043,37.49,3,3,MEDIUM
RAFAEL URIBE URIBE,CANINO,6,2022,2,13,26,6,25,0.1233,0.2858,49.17,11,3,HIGH
LA CANDELARIA,CANINO,12,2024,4,3,11,2,15,0.605,0.4241,28.32,4,2,LOW
SANTA FE,CANINO,8,2024,3,4,14,2,18,0.3355,0.252,33.74,6,8,MEDIUM
USME,CANINO,9,2022,1,6,17,6,24,0.3291,0.0947,40.57,16,7,MEDIUM
SUBA,FELINO,4,2022,5,7,5,1,18,0.654,0.3497,30.74,3,6,LOW
SAN CRISTÓBAL,FELINO,12,2024,1,11,21,7,28,0.0544,0.2535,58.89,10,10,HIGH
ANTONIO NARIÑO,CANINO,6,2024,2,3,10,1,21,0.3906,0.2609,32.6,8,5,MEDIUM
BARRIOS UNIDOS,FELINO,11,2023,3,6,9,2,18,0.5554,0.4905,22.8,11,4,LOW
KENNEDY,CANINO,2,2023,2,14,20,4,28,0.0382,0.2564,60.36,12,7,HIGH
SANTA FE,CANINO,6,2022,3,5,15,4,20,0.3611,0.2278,26.92,10,8,MEDIUM
SUBA,CANINO,1,2023,3,9,19,4,22,0.3106,0.3484,31.46,9,2,MEDIUM
BARRIOS UNIDOS,FELINO,2,2023,3,4,12,3,9,0.493,0.4066,31.43,8,4,MEDIUM
USME,CANINO,7,2022,3,10,18,5,29,0.0636,0.2845,50.37,15,6,HIGH
LOS MÁRTIRES,FELINO,10,2024,3,10,10,3,21,0.3803,0.204,37.47,11,6,MEDIUM
LA CANDELARIA,CANINO,7,2024,3,9,11,3,17,0.5365,0.5539,30.88,5,5,MEDIUM
LOS MÁRTIRES,FELINO,3,2022,2,10,16,3,17,0.4248,0.3308,41.3,10,6,MEDIUM
BARRIOS UNIDOS,CANINO,4,2024,2,6,10,1,15,0.58,0.4144,27.58,8,4,LOW
USME,CANINO,11,2022,2,8,20,4,27,0.0991,0.1725,53.6,18,8,HIGH
ANTONIO NARIÑO,CANINO,8,2024,2,13,14,5,23,0.3201,0.2247,39.48,11,4,MEDIUM
CIUDAD BOLÍVAR,CANINO,3,2023,2,11,26,7,30,0.1813,0.1655,50.76,9,7,HIGH
PUENTE ARANDA,CANINO,11,2024,3,14,13,6,19,0.3273,0.2776,36.6,12,8,MEDIUM
CIUDAD BOLÍVAR,FELINO,10,2022,1,10,15,3,16,0.2156,0.1555,51.24,11,5,MEDIUM
BOSA,FELINO,12,2024,1,10,19,7,35,0.0857,0.1887,61.67,10,7,HIGH
USAQUÉN,CANINO,5,2024,5,1,6,2,8,0.7904,0.4964,14.16,3,3,LOW
BOSA,CANINO,11,2024,2,13,21,4,28,0.1568,0.26,59.45,10,5,HIGH
SUMAPAZ,CANINO,10,2022,5,2,1,0,17,0.717,0.0801,3.55,4,7,LOW
SANTA FE,CANINO,8,2022,2,5,16,2,18,0.3732,0.3972,41.14,11,3,MEDIUM
TEUSAQUILLO,FELINO,8,2023,3,4,12,2,12,0.7036,0.4811,20.83,7,2,LOW
SUBA,CANINO,4,2024,3,4,10,4,13,0.6289,0.3106,26.5,7,9,LOW
CIUDAD BOLÍVAR,FELINO,12,2024,1,10,22,6,30,0.0524,0.2478,57.67,14,8,HIGH
CHAPINERO,CANINO,2,2023,4,5,7,1,5,0.6878,0.5656,30.14,5,5,LOW
LOS MÁRTIRES,FELINO,7,2023,3,7,19,5,30,0.2861,0.1635,42.08,21,3,HIGH
SANTA FE,CANINO,5,2023,4,9,14,2,13,0.4298,0.3379,29.19,12,4,MEDIUM
CHAPINERO,CANINO,7,2023,4,6,8,3,13,0.6273,0.5242,30.12,8,1,LOW
BARRIOS UNIDOS,CANINO,3,2023,4,6,7,2,15,0.5273,0.4766,31.33,6,7,MEDIUM
KENNEDY,CANINO,12,2023,2,15,20,6,38,0.0652,0.2006,56.52,14,8,HIGH
SANTA FE,CANINO,2,2024,3,6,16,5,17,0.4171,0.2844,36.07,11,5,MEDIUM
FONTIBÓN,CANINO,9,2024,3,6,8,4,6,0.5204,0.3285,30.02,7,5,LOW
SANTA FE,CANINO,6,2022,3,9,18,4,18,0.4002,0.2841,42.98,9,7,MEDIUM
ANTONIO NARIÑO,CANINO,11,2022,3,14,17,5,37,0.3047,0.3193,36.06,9,9,MEDIUM
LA CANDELARIA,FELINO,8,2022,4,3,9,1,23,0.5821,0.4766,22.53,5,1,LOW
ANTONIO NARIÑO,CANINO,6,2023,1,6,8,0,23,0.3776,0.3773,37.72,8,5,MEDIUM
ANTONIO NARIÑO,CANINO,8,2023,1,11,19,3,34,0.3156,0.304,45.6,10,1,MEDIUM
TUNJUELITO,CANINO,12,2024,1,6,18,5,32,0.2087,0.1885,46.06,10,4,HIGH
SANTA FE,FELINO,6,2023,2,7,15,7,21,0.3492,0.307,39.91,15,9,MEDIUM
USME,FELINO,3,2024,1,10,15,3,28,0.2001,0.1588,45.23,12,4,HIGH
ANTONIO NARIÑO,FELINO,11,2023,2,7,17,4,23,0.4027,0.3164,38.79,9,5,MEDIUM
TUNJUELITO,CANINO,3,2024,2,7,15,2,24,0.2353,0.2517,37.07,13,10,MEDIUM
KENNEDY,CANINO,2,2023,1,13,15,5,33,0.145,0.2632,59.71,16,12,HIGH
CIUDAD BOLÍVAR,CANINO,1,2022,2,6,23,9,33,0.02,0.1974,55.13,13,6,HIGH
FONTIBÓN,CANINO,12,2022,3,14,18,1,18,0.2941,0.2591,45.86,10,10,MEDIUM
CIUDAD BOLÍVAR,FELINO,7,2023,1,13,13,5,34,0.02,0.1076,56.6,17,6,HIGH
PUENTE ARANDA,CANINO,10,2023,3,7,7,2,18,0.4422,0.3386,33.66,13,8,MEDIUM
ENGATIVÁ,FELINO,9,2024,2,2,8,1,14,0.5416,0.3431,31.26,5,2,LOW
TUNJUELITO,CANINO,4,2022,3,7,13,3,19,0.2488,0.3255,46.78,10,8,MEDIUM
BARRIOS UNIDOS,CANINO,5,2024,3,10,9,2,9,0.6727,0.3484,24.07,12,6,LOW
BARRIOS UNIDOS,CANINO,12,2024,3,11,13,3,22,0.3606,0.3075,40.23,14,2,MEDIUM
USME,FELINO,3,2024,2,12,10,4,29,0.2247,0.1646,47.8,9,8,MEDIUM
SAN CRISTÓBAL,CANINO,11,2023,2,9,19,2,36,0.2365,0.1582,45.44,16,11,HIGH
CHAPINERO,FELINO,3,2023,3,1,3,1,12,0.6827,0.4574,21.54,5,2,LOW
TUNJUELITO,CANINO,10,2024,3,9,16,5,16,0.3856,0.3075,39.06,9,8,MEDIUM
USME,FELINO,7,2023,1,5,18,5,33,0.1289,0.1876,48.16,15,11,HIGH
ANTONIO NARIÑO,FELINO,1,2023,1,4,12,4,22,0.2786,0.3127,41.96,9,5,MEDIUM
USME,FELINO,11,2023,2,12,18,5,35,0.1865,0.111,50.91,15,13,HIGH
BOSA,CANINO,8,2023,2,11,21,4,21,0.259,0.178,48.07,11,5,HIGH
SAN CRISTÓBAL,CANINO,8,2023,1,20,11,2,35,0.2161,0.19,50.71,18,10,HIGH
KENNEDY,CANINO,10,2024,2,13,13,6,17,0.2829,0.2772,41.99,12,11,MEDIUM
USAQUÉN,CANINO,9,2024,4,5,6,0,13,0.648,0.4458,19.13,4,3,LOW
USME,CANINO,7,2023,2,7,22,9,32,0.02,0.1538,51.67,13,13,HIGH
CHAPINERO,CANINO,7,2023,4,5,10,1,18,0.6077,0.4703,23.03,10,2,LOW
TUNJUELITO,CANINO,6,2023,4,9,26,6,27,0.1702,0.1901,42.18,16,9,HIGH
KENNEDY,FELINO,7,2023,1,16,16,6,35,0.02,0.238,57.43,9,10,HIGH
USME,CANINO,3,2024,2,9,10,3,19,0.2152,0.1755,45.14,17,5,MEDIUM
TUNJUELITO,CANINO,4,2024,1,6,16,5,17,0.2303,0.2567,45.96,7,6,MEDIUM
TUNJUELITO,CANINO,5,2024,1,10,14,3,30,0.3185,0.2894,43.75,5,8,MEDIUM
KENNEDY,CANINO,7,2022,1,22,25,5,34,0.0869,0.2688,61.93,13,8,HIGH
SANTA FE,FELINO,12,2023,2,12,14,3,28,0.3043,0.3017,49.59,11,7,MEDIUM
SUBA,FELINO,11,2023,4,8,12,3,23,0.4796,0.3922,34.47,11,2,MEDIUM
ANTONIO NARIÑO,CANINO,8,2023,4,12,14,4,19,0.3125,0.2927,41.18,10,8,MEDIUM
ENGATIVÁ,CANINO,7,2022,3,9,13,3,17,0.3291,0.3381,40.25,3,6,MEDIUM
CIUDAD BOLÍVAR,CANINO,10,2023,3,13,22,10,31,0.2471,0.2456,48.45,12,10,HIGH
CIUDAD BOLÍVAR,CANINO,7,2024,1,15,18,1,30,0.0246,0.1644,51.77,10,14,HIGH
CHAPINERO,CANINO,8,2023,5,4,8,0,12,0.7347,0.5473,22.72,5,1,LOW
BARRIOS UNIDOS,CANINO,10,2023,6,3,4,0,8,0.6029,0.3189,26.81,4,4,LOW
CIUDAD BOLÍVAR,CANINO,1,2022,1,9,27,7,36,0.0293,0.2954,57.62,11,8,HIGH
KENNEDY,CANINO,10,2023,3,14,22,5,32,0.1725,0.2233,57.25,15,7,HIGH
USAQUÉN,CANINO,10,2024,5,1,1,0,6,0.7618,0.5166,16.72,7,3,LOW
USME,CANINO,9,2022,2,9,20,6,15,0.1747,0.1266,46.46,12,4,HIGH
ANTONIO NARIÑO,CANINO,9,2022,4,3,13,4,17,0.3499,0.2511,36.25,12,5,MEDIUM
SAN CRISTÓBAL,CANINO,9,2024,2,12,12,4,40,0.2264,0.2033,42.35,10,5,HIGH
SUBA,FELINO,8,2024,3,11,8,4,15,0.5372,0.4011,29.69,4,4,MEDIUM
ANTONIO NARIÑO,CANINO,3,2022,2,7,9,2,30,0.4102,0.3343,37.82,10,5,MEDIUM
FONTIBÓN,FELINO,12,2022,2,5,8,1,28,0.3508,0.3383,41.43,8,2,MEDIUM
ENGATIVÁ,CANINO,2,2024,2,7,8,1,18,0.4988,0.326,39.59,13,4,MEDIUM
RAFAEL URIBE URIBE,FELINO,10,2023,3,12,13,2,27,0.2631,0.1803,43.59,4,1,MEDIUM
USAQUÉN,CANINO,9,2022,3,6,6,1,10,0.7073,0.4501,20.27,2,2,LOW
KENNEDY,CANINO,9,2024,2,18,25,7,21,0.0829,0.1927,53.22,10,15,HIGH
CHAPINERO,CANINO,11,2023,2,3,4,2,13,0.6919,0.4582,23.32,5,2,LOW
USME,CANINO,3,2023,2,12,20,3,29,0.0986,0.1844,55.59,16,6,HIGH
FONTIBÓN,FELINO,1,2023,3,17,13,5,22,0.4213,0.2912,41.7,17,4,MEDIUM
PUENTE ARANDA,CANINO,12,2023,2,10,8,1,21,0.3076,0.2915,41.48,12,2,MEDIUM
BOSA,FELINO,2,2024,1,19,22,6,32,0.1462,0.2543,57.77,15,5,HIGH
SAN CRISTÓBAL,CANINO,12,2023,2,12,18,5,37,0.0487,0.2525,56.8,14,7,HIGH
CIUDAD BOLÍVAR,CANINO,11,2024,1,19,21,4,34,0.02,0.2045,56.46,13,9,HIGH
USME,CANINO,10,2023,1,5,15,4,27,0.3588,0.1171,42.44,8,9,MEDIUM
BARRIOS UNIDOS,CANINO,10,2024,4,5,10,3,11,0.5334,0.3772,27.99,3,1,LOW
FONTIBÓN,FELINO,2,2023,4,3,9,2,19,0.5448,0.3492,35.52,9,7,MEDIUM
TUNJUELITO,CANINO,8,2022,1,12,23,4,34,0.2393,0.3534,46.2,10,8,HIGH
CIUDAD BOLÍVAR,CANINO,7,2023,1,22,16,5,30,0.0284,0.1097,59.33,11,6,HIGH
KENNEDY,CANINO,3,2023,2,14,20,5,33,0.1198,0.2788,54.26,15,6,HIGH
FONTIBÓN,FELINO,10,2023,3,3,15,5,15,0.5552,0.323,34.75,13,2,MEDIUM
BARRIOS UNIDOS,FELINO,9,2023,3,2,8,0,16,0.5692,0.2538,23.69,7,6,LOW
SAN CRISTÓBAL,CANINO,3,2024,2,16,22,5,23,0.2234,0.2239,41.74,9,9,MEDIUM
TUNJUELITO,CANINO,11,2023,2,12,17,4,19,0.2414,0.2997,43.95,16,2,HIGH
CIUDAD BOLÍVAR,CANINO,1,2024,1,16,30,9,29,0.0932,0.1719,55.81,17,4,HIGH
PUENTE ARANDA,CANINO,10,2023,3,5,14,3,18,0.4149,0.3613,38.52,8,6,MEDIUM
SANTA FE,CANINO,12,2024,2,7,15,3,23,0.2847,0.2734,42.05,14,7,MEDIUM
ENGATIVÁ,CANINO,7,2024,2,9,12,4,14,0.4393,0.3575,35.24,7,4,MEDIUM
BOSA,CANINO,8,2024,1,16,16,3,27,0.0948,0.2277,53.08,14,9,HIGH
RAFAEL URIBE URIBE,FELINO,12,2024,1,10,27,8,32,0.0814,0.2442,53.25,6,12,HIGH
CIUDAD BOLÍVAR,CANINO,11,2023,2,13,15,3,21,0.1999,0.1422,49.35,11,6,HIGH
LA CANDELARIA,CANINO,12,2023,4,6,7,2,14,0.5513,0.3807,25.67,10,7,MEDIUM
CIUDAD BOLÍVAR,CANINO,3,2024,1,9,9,3,33,0.2404,0.095,46.37,13,5,HIGH
KENNEDY,FELINO,5,2022,3,17,22,6,19,0.2164,0.2853,46.45,9,8,HIGH
CHAPINERO,FELINO,5,2024,5,3,3,0,6,0.7155,0.4736,18.1,6,4,LOW
SUBA,CANINO,6,2024,5,7,9,1,13,0.5932,0.3915,30.6,5,2,LOW
KENNEDY,FELINO,8,2022,1,8,13,5,36,0.2345,0.3141,51.38,8,7,HIGH
SAN CRISTÓBAL,FELINO,3,2022,2,18,17,5,33,0.2537,0.1746,40.22,6,3,MEDIUM
SANTA FE,CANINO,11,2023,5,5,15,4,20,0.4176,0.2896,32.5,9,3,MEDIUM
TUNJUELITO,CANINO,5,2024,1,15,17,1,27,0.3069,0.2279,44.67,7,12,MEDIUM
TUNJUELITO,FELINO,11,2023,3,9,12,4,17,0.3587,0.1679,42.9,11,7,MEDIUM
LOS MÁRTIRES,CANINO,2,2022,1,12,11,4,23,0.2488,0.2785,40.35,5,3,MEDIUM
SUMAPAZ,CANINO,10,2023,5,0,5,0,15,0.6956,0.1444,5.68,5,5,LOW
SANTA FE,CANINO,1,2022,4,6,25,5,26,0.2952,0.2592,48.51,13,6,HIGH
SUBA,FELINO,11,2024,3,9,11,3,10,0.4999,0.3521,28.46,8,5,MEDIUM
CIUDAD BOLÍVAR,FELINO,8,2023,2,14,20,9,35,0.1024,0.1185,56.68,12,9,HIGH
SAN CRISTÓBAL,CANINO,8,2024,2,11,22,5,24,0.2102,0.2532,47.76,9,5,HIGH
LOS MÁRTIRES,FELINO,2,2023,2,14,18,3,28,0.1956,0.2222,48.17,5,2,HIGH
FONTIBÓN,CANINO,2,2024,2,4,10,2,13,0.4737,0.4265,30.66,10,5,MEDIUM
ANTONIO NARIÑO,CANINO,1,2024,2,5,26,4,23,0.2118,0.4227,48.9,12,4,HIGH
FONTIBÓN,CANINO,10,2024,3,7,9,1,12,0.5799,0.3528,27.46,8,6,LOW
ANTONIO NARIÑO,CANINO,5,2024,2,2,11,2,29,0.4123,0.3081,37.27,9,6,MEDIUM
BOSA,CANINO,11,2023,2,12,31,11,29,0.257,0.2447,49.66,9,6,HIGH
LOS MÁRTIRES,CANINO,2,2024,3,6,17,6,24,0.2797,0.2298,42.43,7,4,MEDIUM
FONTIBÓN,CANINO,3,2023,3,9,14,5,14,0.5214,0.2994,31.32,11,5,MEDIUM
ENGATIVÁ,CANINO,12,2024,1,6,9,2,25,0.3853,0.3102,40.0,7,2,MEDIUM
BARRIOS UNIDOS,FELINO,11,2023,4,6,8,1,13,0.5688,0.3789,30.8,6,7,MEDIUM
ENGATIVÁ,FELINO,5,2024,4,8,13,2,20,0.4752,0.3755,27.74,9,5,MEDIUM
KENNEDY,FELINO,5,2023,3,11,17,4,26,0.1954,0.3012,46.02,14,8,HIGH
TUNJUELITO,CANINO,1,2023,2,10,12,1,24,0.1258,0.3236,52.79,9,10,HIGH
USAQUÉN,FELINO,8,2022,3,5,8,0,13,0.5999,0.4277,20.54,6,2,LOW
PUENTE ARANDA,CANINO,4,2022,3,7,11,3,19,0.4806,0.2851,36.66,7,4,MEDIUM
LOS MÁRTIRES,CANINO,4,2022,2,9,20,6,23,0.3062,0.1792,50.51,18,4,MEDIUM
SANTA FE,CANINO,12,2024,2,8,16,4,16,0.3178,0.268,42.71,14,5,MEDIUM
RAFAEL URIBE URIBE,CANINO,8,2024,2,8,11,3,29,0.2734,0.3067,39.19,7,8,MEDIUM
TUNJUELITO,CANINO,6,2023,1,10,14,4,31,0.1934,0.2634,45.49,12,7,MEDIUM
PUENTE ARANDA,CANINO,4,2024,3,7,8,1,18,0.4913,0.3022,35.77,7,5,MEDIUM
CIUDAD BOLÍVAR,CANINO,11,2023,1,13,22,9,22,0.1311,0.1554,55.95,23,10,HIGH
TEUSAQUILLO,CANINO,9,2022,4,5,11,1,19,0.6638,0.459,19.06,2,2,LOW
RAFAEL URIBE URIBE,FELINO,8,2023,2,13,17,3,15,0.1557,0.1474,50.43,12,9,HIGH
KENNEDY,FELINO,1,2024,1,20,20,5,22,0.1119,0.2905,58.3,10,9,HIGH
ENGATIVÁ,CANINO,1,2023,4,7,14,4,11,0.4242,0.3997,33.1,11,6,MEDIUM
USME,FELINO,5,2023,4,9,24,7,16,0.2613,0.1044,48.46,7,8,MEDIUM
CIUDAD BOLÍVAR,FELINO,5,2023,2,11,20,7,30,0.2061,0.1726,50.02,9,5,HIGH
SUMAPAZ,CANINO,11,2024,4,4,5,2,19,0.5593,0.2154,14.4,3,8,LOW
CIUDAD BOLÍVAR,CANINO,10,2022,2,16,11,3,21,0.3529,0.2084,39.69,10,12,MEDIUM
TUNJUELITO,CANINO,7,2024,3,14,11,5,27,0.2088,0.2945,45.47,10,7,MEDIUM
TEUSAQUILLO,CANINO,12,2024,2,5,10,1,9,0.4973,0.4372,26.31,3,2,MEDIUM
LOS MÁRTIRES,CANINO,9,2022,3,9,7,0,32,0.2886,0.3483,39.93,7,3,MEDIUM
USME,CANINO,5,2023,3,10,8,2,21,0.2678,0.2501,36.27,10,8,MEDIUM
PUENTE ARANDA,CANINO,8,2022,2,10,9,2,20,0.3344,0.3311,39.88,10,4,MEDIUM
SANTA FE,CANINO,6,2024,4,8,11,5,22,0.3819,0.2627,39.22,5,5,MEDIUM
FONTIBÓN,CANINO,12,2023,1,9,9,3,22,0.3439,0.3781,37.71,11,5,MEDIUM
SAN CRISTÓBAL,CANINO,8,2023,1,6,12,1,26,0.2979,0.1637,44.97,10,7,MEDIUM
BOSA,FELINO,8,2024,1,13,11,3,22,0.1203,0.1912,53.0,12,6,HIGH
USME,CANINO,4,2024,2,13,8,2,32,0.1673,0.1712,42.37,7,11,MEDIUM
BARRIOS UNIDOS,FELINO,10,2022,5,6,6,2,16,0.5647,0.4094,22.32,6,4,LOW
ENGATIVÁ,CANINO,4,2024,5,7,16,4,20,0.5051,0.3969,30.66,13,7,MEDIUM
TUNJUELITO,FELINO,5,2024,2,11,17,6,13,0.2348,0.2096,39.9,10,6,MEDIUM
SUMAPAZ,CANINO,12,2023,4,5,6,1,17,0.5074,0.103,20.61,10,11,MEDIUM
PUENTE ARANDA,CANINO,3,2024,2,9,11,4,13,0.4606,0.2947,35.13,11,3,MEDIUM
BARRIOS UNIDOS,FELINO,4,2023,4,9,4,2,12,0.573,0.3326,28.91,6,2,LOW
BOSA,FELINO,11,2023,1,16,15,5,23,0.2245,0.205,50.16,17,3,HIGH
CIUDAD BOLÍVAR,FELINO,7,2022,1,10,20,6,28,0.0322,0.1604,55.42,14,7,HIGH
CIUDAD BOLÍVAR,CANINO,2,2022,2,10,16,3,33,0.0495,0.2392,50.98,8,6,HIGH
KENNEDY,FELINO,5,2022,1,12,24,7,27,0.2053,0.2817,42.11,9,2,HIGH
BARRIOS UNIDOS,CANINO,9,2022,3,1,7,2,13,0.4772,0.4003,31.99,12,3,MEDIUM
SAN CRISTÓBAL,CANINO,7,2023,1,14,22,6,23,0.1041,0.2375,51.96,16,15,HIGH
BOSA,FELINO,12,2023,1,13,16,5,21,0.0717,0.2491,59.02,14,4,HIGH
ENGATIVÁ,CANINO,10,2023,3,4,11,4,13,0.5876,0.3109,28.58,7,10,LOW
BOSA,CANINO,11,2022,2,10,24,7,24,0.0934,0.2775,56.17,16,2,HIGH
USME,CANINO,10,2023,1,7,16,8,17,0.2912,0.2277,37.34,7,12,MEDIUM
USME,CANINO,12,2023,1,15,21,3,35,0.0901,0.1459,49.63,11,6,HIGH
KENNEDY,FELINO,6,2023,2,16,15,2,28,0.139,0.2189,53.72,10,7,HIGH
KENNEDY,CANINO,9,2023,1,16,17,7,27,0.1209,0.3551,55.87,9,9,HIGH
CIUDAD BOLÍVAR,CANINO,2,2022,2,19,21,3,19,0.0491,0.1332,57.69,13,3,HIGH
BOSA,CANINO,1,2023,1,15,17,3,33,0.0733,0.2385,60.11,17,9,HIGH
SAN CRISTÓBAL,FELINO,12,2023,2,10,31,11,36,0.02,0.146,57.05,16,13,HIGH
TEUSAQUILLO,CANINO,1,2024,4,2,14,3,20,0.5105,0.4874,29.38,7,3,MEDIUM
LOS MÁRTIRES,CANINO,3,2023,2,12,17,4,25,0.3395,0.2758,37.49,8,3,MEDIUM
CHAPINERO,CANINO,11,2024,3,3,8,3,11,0.5662,0.5081,24.94,4,2,LOW
PUENTE ARANDA,FELINO,10,2022,3,9,13,4,16,0.5235,0.3373,31.02,7,4,MEDIUM
FONTIBÓN,CANINO,5,2022,2,2,6,2,23,0.5093,0.3994,33.63,9,4,MEDIUM
SAN CRISTÓBAL,CANINO,10,2023,1,13,11,2,24,0.2824,0.1194,38.16,7,12,MEDIUM
FONTIBÓN,FELINO,3,2022,2,9,15,4,10,0.4005,0.3671,32.78,8,1,MEDIUM
BOSA,FELINO,5,2023,2,8,16,7,25,0.2528,0.1465,42.81,12,13,MEDIUM
SUMAPAZ,FELINO,6,2023,5,2,7,1,12,0.5845,0.0239,7.3,6,6,LOW
PUENTE ARANDA,FELINO,2,2022,1,8,12,5,17,0.2975,0.3514,48.17,9,5,MEDIUM
TEUSAQUILLO,FELINO,8,2023,4,4,5,1,18,0.5742,0.4473,22.93,6,5,LOW
LA CANDELARIA,CANINO,3,2024,3,4,3,2,4,0.704,0.4249,12.88,15,4,LOW
CIUDAD BOLÍVAR,CANINO,7,2023,1,12,28,11,32,0.0329,0.1497,56.44,14,7,HIGH
SANTA FE,CANINO,12,2023,4,8,11,1,23,0.2692,0.2698,40.28,7,3,MEDIUM
TUNJUELITO,CANINO,5,2024,4,5,20,3,19,0.3671,0.2658,42.96,13,6,MEDIUM
SANTA FE,CANINO,12,2022,2,5,18,2,30,0.2793,0.31,40.37,10,3,MEDIUM
KENNEDY,FELINO,1,2022,2,7,19,5,33,0.046,0.2471,53.93,13,8,HIGH
BARRIOS UNIDOS,FELINO,6,2022,3,3,7,2,16,0.5962,0.3172,25.42,3,5,LOW
LOS MÁRTIRES,FELINO,3,2023,3,10,17,5,23,0.269,0.1869,41.8,11,1,MEDIUM
LA CANDELARIA,CANINO,11,2022,4,2,5,0,13,0.5643,0.3452,20.37,2,5,LOW
BARRIOS UNIDOS,FELINO,10,2024,4,8,9,1,15,0.5698,0.4077,29.15,5,5,LOW
FONTIBÓN,FELINO,8,2024,2,7,9,0,22,0.4531,0.3741,35.65,9,7,MEDIUM
KENNEDY,CANINO,12,2023,2,17,24,6,20,0.0907,0.2393,54.62,23,6,HIGH
LOS MÁRTIRES,CANINO,3,2023,3,13,15,2,22,0.3413,0.1996,39.49,14,3,MEDIUM
BOSA,FELINO,11,2023,2,14,19,4,31,0.058,0.252,52.85,6,7,HIGH
CHAPINERO,FELINO,7,2023,2,5,9,0,11,0.694,0.4369,22.11,5,4,LOW
SAN CRISTÓBAL,FELINO,3,2023,3,13,25,5,23,0.2996,0.1718,49.49,8,7,HIGH
USME,CANINO,7,2023,3,10,25,5,26,0.0963,0.1397,49.68,8,8,HIGH
TUNJUELITO,CANINO,1,2024,1,10,17,3,26,0.2231,0.2719,42.02,6,4,HIGH
BOSA,CANINO,6,2022,1,12,11,4,23,0.0668,0.2452,58.14,9,11,HIGH
BOSA,CANINO,10,2022,2,14,17,3,24,0.243,0.2049,53.12,13,7,HIGH
USAQUÉN,FELINO,3,2024,4,8,8,2,9,0.7089,0.5292,24.03,2,6,LOW
FONTIBÓN,CANINO,7,2023,2,5,11,3,27,0.3737,0.3395,41.72,17,5,MEDIUM
KENNEDY,CANINO,10,2023,3,11,21,4,19,0.2766,0.1929,47.56,8,6,MEDIUM
KENNEDY,CANINO,6,2023,3,23,24,5,35,0.1588,0.2387,55.02,10,4,HIGH
CIUDAD BOLÍVAR,CANINO,2,2023,2,12,18,10,26,0.1671,0.191,49.88,7,11,HIGH
CIUDAD BOLÍVAR,CANINO,8,2023,1,13,25,9,27,0.0632,0.2322,62.11,18,9,HIGH
BOSA,CANINO,4,2024,2,14,19,8,25,0.2072,0.1908,47.47,11,7,HIGH
CHAPINERO,FELINO,3,2023,4,4,7,2,9,0.674,0.5244,18.69,4,2,LOW
BOSA,CANINO,6,2023,2,14,20,4,47,0.1534,0.2385,47.97,9,6,HIGH
SUMAPAZ,FELINO,5,2023,6,2,6,1,14,0.7168,0.0302,3.97,0,5,LOW
USME,CANINO,4,2024,1,13,20,6,34,0.2466,0.1646,47.61,11,8,HIGH
RAFAEL URIBE URIBE,CANINO,8,2023,1,11,19,4,26,0.2271,0.2709,45.53,15,5,HIGH
